msno,churn_probability
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0.033758853
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0.038564857
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0.026843814
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0.03172465
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0.038682062
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0.036036596
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0.055588428
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0.05918035
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0.033214275
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0.026375348
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0.08178605
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0.14854042
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0.04778267
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0.037231598
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,0.96983063
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0.109638475
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0.3783297
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0.371089
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0.03406942
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0.03165608
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,0.8432538
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0.012335363
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0.016880812
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0.07433643
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,0.4027747
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0.41000864
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0.12337506
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0.024677329
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,0.08714493
qUVMTzmliDleu9/sFx7smt/7noJfwvM3oSrIfSj8idQ=,0.12324877
25Qxeyfmvf4KZ6NlpMF0JoIB5fo4RrJSLqW8qg2Br4g=,0.043605547
FHjx5k6DdP3R50zUKVKiWhcuvUj4+oOvenYbMbObbt8=,0.9629647
smFBhyYKpUkvyrdK20TwCqIFsme2zXJME/OogsqJ0B8=,0.075242914
5lZeR2OGblRV2ztwlURaZB0eyK81MtwTf3zqrzPatzM=,0.05691942
dNPeaKLGv9ypkmOyFHcRAtLZEvusMqC5A/w7/XCyORE=,0.6143099
WdGy7As+FP3lq5o3lZLLPaZf0TknvtGRPC2E7BqCQso=,0.0332827
vpmNBMMPtxDqLtsXjZBjyDHI9DhwzpTfzA0vRnJM5BQ=,0.025879733
PcqlWGSfHce7lhJYdpugFwRUFwyAgy+jePKw1Tt8mc0=,0.0351173
l1Hc43vzU77l7p+nVmCIhSpKFgBKsjFcdaUzRM5p5cA=,0.10053381
KxRvazb74DNOFqmUq+sAObMWptpgbMslKjMtJnK4zBo=,0.15963505
apGkWQbRnaqqdROZWLkYgpK1zX+vegy692zaRpnv43Y=,0.068586215
PyzfxMPzbPaWPlx5qViYQMWGDgc5VGH5a+jucXwdeZU=,0.067053154
G7TiVD4PhQZDbVDBvTxjmWSnvFbxlQxuv4NlgyO4Or8=,0.25615123
3MLhPwU4shQuuCapwoku/7q5c8uN99S+xF+1B0v2bqs=,0.018587872
gJSa+2AVlnB7R3tIl5EggkqJ1OohTCl9OnQRzJY4XTM=,0.03459044
f+Cbz89h8aqHNu+W7pqdUE25lvRcRF7Hb2ROVnGoOVA=,0.045903996
v7Z1Wewq8nV9gfXqOVT0/DVVy0p8ev8N4xsGxvtr+Ms=,0.054462846
31JF1hbTZO0KYRY82zjoM+RH03S1mC0dLo2tneNB+yc=,0.030466376
DajMV9SISZn1LEfYSjojwI5bt87K726k4Pscq7fkyVs=,0.081045985
hqLvEChdKUL00GRNvWSCSCLw9oqzc++OuWLvqhy0Exk=,0.026408043
sleHd02kYaj5JJfh6GXS+jKbUjnWOSJ7XjYBKYdT2Q0=,0.052889414
pT7sKywsRpn3QCAnz68289QNtMzn9aXZVsrymtJZxTY=,0.043219186
H7SyRrSFrfQ9GYV2vjHuBuTIodwJo1vsRZoHvLbhqt0=,0.039179012
FmG5bkMey5wbC5h8hXfJyefqUrMTvFOKWYFAdpsWPZ0=,0.061368532
tMcxMogXvWwkBgcYMWvs2rXSHn3d/gnSbv4Q8CCdDQ4=,0.029667478
+f2srhLduQQyuf2DqdutmIKEtXL3f7C9RqoO8B3igTU=,0.027890952
vqYC1AMAmkFRFAj+EH4/RmLgqGkMCHkDd4Sa7Y9/cjY=,0.07076785
M4VLiXOthDEBREaeTP+5bZVzIZ/ieBayDr7fOUKwsKg=,0.03374598
thgnyuw8qd1fH6zNqOLc6u5ITUEI0GcrmmsX47/QmVk=,0.032494236
R7AEYvBWXW/5zxVY3fyDiTmGgFEzWhUlYnh8FbyU/ig=,0.017510697
B4t3Abpk4UfTqxGdLHheBuxOrGgh0hUxLL/2wH+BUuA=,0.014160213
4fmiIwCUm5rwpahIU2DAwVlzGH/8tqnuOWfnD1xkKL0=,0.031448252
DEbzYI5ks8MpIefCXdAXFjWWQWmFrJt2c7lT07vD2lI=,0.22790882
CcJfGLIb2FtQvlGilBii0WeMrt1jbx/yQDx3tcAolVE=,0.0257937
0RoEbFdjdD1bOOnv8k+uIQH0WULAdzcRaw4Umy+2WaA=,0.033525623
g85O/i6eYIIlqzjKcRZQJN/ht9Dzfnl6uVjBuU6KUUA=,0.26504347
6juoF6RRH5XsSaIOiMExqdXdIA1FDF2ZNPLcA2nH7nc=,0.50501287
oK2A0g4EAh0qvmUiH71XRLp1UPezHIGctHK4bTAifWE=,0.10576372
D/Gc0+OmkY/CFdh1fhwcl2a3VxapNbK5+tvvsjlt4/E=,0.06262845
eZdGFJ59YG5e8heFsHFVqWrBgGmBV9iNH33ICMVmCgE=,0.040241774
5YIu9eeMxF54qqJky/QPfdb64SRo2XaYsULr6SB+3QA=,0.35479313
a8mVJk30ao1YB+3XWTS1PbHaVaDSkOt3dZHZNaq/d/w=,0.16336487
oYGlsrmqdDOer9tHgXPDNBybexqwBQfGC/hu0s2EJLg=,0.044808526
r1pACK6sbqK7d78UlL3O2max05ZaY9+v6opshpPCCn4=,0.05236317
mqOEsB9qT+x64j8b0f5EYz/5Cf8F0NCF2UcwtDeTNGU=,0.99032307
x0O7SEp8hTcsmGLo9013rPE6OqHws+ZsnAqn5Xi9v7I=,0.02618636
AAc5aRSCib5hp6AAkHnJtaQ+TLJBoI0KyOlwxiO9sRE=,0.057065535
G4mQ62WYXmlI+3jXraEi3wSo6w/2qb31yGc/l7VAKHU=,0.026636757
78Nma5MHFgdLiWM81QBrQ8E832MdF2P2aOS589BAOSU=,0.0498994
RAJxEbbLo6fa96IL1GxQ5Ybn+Si9KNWsW48zo8jw770=,0.045961116
ygD3HhZ5/4vBNuI8jI154MKxm7eENQAyLe5VKr6b4Uc=,0.0786482
dqJTxpbfRo6cPKuAsZaQ4/d6at6YjnIvtyMl5a+kAgI=,0.25607616
kU6MJOG0dyymaun6zB3t3R8jsDeYpqj0+smcmY8N8ww=,0.9904359
2Q9AclLQfNbDBzNHsdbb+TA/JCYtQ041vwEtYjgpbjs=,0.14374253
/GwyazjbW8n0+uMmPsh2wKRRqS0OeHmqT3uAtQod2GA=,0.050577857
QlQTMZwH/JIlxq98bxjnFotM4UQ7w6B9/NV6hzbSbdw=,0.18010575
ADQfbxSE3rkiHyu9lUMOS1U4AMRJzSQzHjwFCMwBMoU=,0.06282442
f2ZlEFKu7r1Rc3JvBRxA6C0ZDCjZezlF2f2eKXkdMVQ=,0.04561731
5PtSyUH+cS3q3jKBjFHN3VUbjhclBslfWqhpY1/RjHY=,0.03796407
mFFeaSNcJxeNaGVengApNxWKz+ihVXw8o3YdjFY3oeA=,0.058844946
7fs2uZxUNAh6xYGMren1goltthJxl9V0d6CGXFsbsgE=,0.07183503
pein6jybPQ1O1U9EUm79ChTkbSiE6nj2asPVyv6Xu1c=,0.31869242
OyvPH8vv5hZyLhqQk3rj4yoZA0jpxMRtdTgeK3HUaVc=,0.031160504
riKqGl6Dr1CYzoZVC37seJHDbJHz74WtlriJkZ9oos8=,0.10322101
hVcP37SxbJOmuIwjj28spQGusZFvGFvu7trRoq8ocaM=,0.15051211
KiMtkmdIusEcQ96yvXEHrLnWCH5WigrDbWps/UJLVxU=,0.040558696
jCCFqeJVH9uRJhLyhtpRjphXS/xmVceEtrK/Fgh51P8=,0.03491495
e/VRVP1ZVBg12r9KLaYbbtWc/MjN9Idba2cRkUzU4aw=,0.031077625
PkJkQesln7ouR/McRsnXhReimEB+UnH6CYz/28OL2Vc=,0.02778994
