msno,is_churn,city,bd,gender,registered_via,registration_init_time
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0,13,41,male,3,2012-06-26
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0,1,0,male,3,2014-12-02
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0,13,31,female,9,2010-05-22
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0,13,40,female,9,2012-10-25
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0,22,20,male,9,2015-05-20
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0,4,33,female,9,2011-05-07
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0,13,33,female,9,2012-06-03
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0,14,24,male,9,2007-08-08
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0,22,24,female,9,2015-09-21
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0,22,33,female,9,2006-05-05
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0,15,25,female,9,2010-08-27
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0,10,20,female,4,2016-06-01
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0,4,31,male,9,2010-11-25
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0,12,35,female,9,2007-02-16
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,1,12,27,male,9,2010-12-25
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0,18,30,male,9,2008-04-15
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0,5,22,male,7,2015-07-13
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0,1,20,male,3,2016-12-29
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0,14,35,female,9,2004-03-28
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0,14,41,male,7,2011-12-09
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,1,13,46,male,9,2005-02-11
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0,13,55,male,9,2015-05-01
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0,13,31,male,9,2007-04-30
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0,13,27,male,7,2013-06-05
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,1,22,19,female,9,2013-10-11
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0,13,25,male,9,2006-03-02
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0,3,14,male,9,2015-09-12
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0,3,59,male,3,2012-07-27
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,0,5,36,female,9,2008-11-03
qUVMTzmliDleu9/sFx7smt/7noJfwvM3oSrIfSj8idQ=,0,6,29,male,9,2011-11-02
25Qxeyfmvf4KZ6NlpMF0JoIB5fo4RrJSLqW8qg2Br4g=,0,4,26,female,9,2009-12-02
FHjx5k6DdP3R50zUKVKiWhcuvUj4+oOvenYbMbObbt8=,1,13,33,male,9,2009-05-18
smFBhyYKpUkvyrdK20TwCqIFsme2zXJME/OogsqJ0B8=,0,13,40,male,7,2016-12-15
5lZeR2OGblRV2ztwlURaZB0eyK81MtwTf3zqrzPatzM=,0,4,26,male,7,2016-05-12
dNPeaKLGv9ypkmOyFHcRAtLZEvusMqC5A/w7/XCyORE=,0,22,20,female,3,2011-12-11
WdGy7As+FP3lq5o3lZLLPaZf0TknvtGRPC2E7BqCQso=,0,6,22,female,9,2013-11-16
vpmNBMMPtxDqLtsXjZBjyDHI9DhwzpTfzA0vRnJM5BQ=,0,11,30,male,9,2004-10-24
PcqlWGSfHce7lhJYdpugFwRUFwyAgy+jePKw1Tt8mc0=,0,13,27,male,9,2005-11-11
l1Hc43vzU77l7p+nVmCIhSpKFgBKsjFcdaUzRM5p5cA=,1,15,28,male,9,2006-04-30
KxRvazb74DNOFqmUq+sAObMWptpgbMslKjMtJnK4zBo=,0,10,19,female,3,2015-08-25
apGkWQbRnaqqdROZWLkYgpK1zX+vegy692zaRpnv43Y=,0,13,24,female,3,2013-05-15
PyzfxMPzbPaWPlx5qViYQMWGDgc5VGH5a+jucXwdeZU=,0,13,27,female,9,2009-11-13
G7TiVD4PhQZDbVDBvTxjmWSnvFbxlQxuv4NlgyO4Or8=,0,8,0,male,7,2013-12-07
3MLhPwU4shQuuCapwoku/7q5c8uN99S+xF+1B0v2bqs=,0,22,17,female,3,2013-04-26
gJSa+2AVlnB7R3tIl5EggkqJ1OohTCl9OnQRzJY4XTM=,0,12,38,female,3,2014-02-06
f+Cbz89h8aqHNu+W7pqdUE25lvRcRF7Hb2ROVnGoOVA=,0,15,32,male,9,2007-12-22
v7Z1Wewq8nV9gfXqOVT0/DVVy0p8ev8N4xsGxvtr+Ms=,0,22,24,female,9,2010-10-24
31JF1hbTZO0KYRY82zjoM+RH03S1mC0dLo2tneNB+yc=,0,11,39,male,9,2004-10-23
DajMV9SISZn1LEfYSjojwI5bt87K726k4Pscq7fkyVs=,0,14,42,female,7,2016-07-31
hqLvEChdKUL00GRNvWSCSCLw9oqzc++OuWLvqhy0Exk=,0,5,41,female,9,2015-06-10
sleHd02kYaj5JJfh6GXS+jKbUjnWOSJ7XjYBKYdT2Q0=,0,22,29,female,9,2014-07-01
pT7sKywsRpn3QCAnz68289QNtMzn9aXZVsrymtJZxTY=,0,13,47,male,9,2011-06-05
H7SyRrSFrfQ9GYV2vjHuBuTIodwJo1vsRZoHvLbhqt0=,0,15,32,female,9,2012-01-14
FmG5bkMey5wbC5h8hXfJyefqUrMTvFOKWYFAdpsWPZ0=,0,22,23,male,3,2015-04-29
tMcxMogXvWwkBgcYMWvs2rXSHn3d/gnSbv4Q8CCdDQ4=,0,6,33,male,3,2013-07-11
+f2srhLduQQyuf2DqdutmIKEtXL3f7C9RqoO8B3igTU=,0,15,21,female,9,2013-07-05
vqYC1AMAmkFRFAj+EH4/RmLgqGkMCHkDd4Sa7Y9/cjY=,0,21,36,male,3,2014-05-12
M4VLiXOthDEBREaeTP+5bZVzIZ/ieBayDr7fOUKwsKg=,0,15,26,female,9,2006-07-08
thgnyuw8qd1fH6zNqOLc6u5ITUEI0GcrmmsX47/QmVk=,0,14,39,female,9,2011-08-03
R7AEYvBWXW/5zxVY3fyDiTmGgFEzWhUlYnh8FbyU/ig=,0,22,25,male,9,2008-09-28
B4t3Abpk4UfTqxGdLHheBuxOrGgh0hUxLL/2wH+BUuA=,0,13,32,female,9,2006-07-09
4fmiIwCUm5rwpahIU2DAwVlzGH/8tqnuOWfnD1xkKL0=,0,13,22,female,9,2008-03-22
DEbzYI5ks8MpIefCXdAXFjWWQWmFrJt2c7lT07vD2lI=,0,13,25,male,9,2007-01-03
CcJfGLIb2FtQvlGilBii0WeMrt1jbx/yQDx3tcAolVE=,0,15,29,male,9,2004-07-28
0RoEbFdjdD1bOOnv8k+uIQH0WULAdzcRaw4Umy+2WaA=,0,22,29,female,4,2015-11-30
g85O/i6eYIIlqzjKcRZQJN/ht9Dzfnl6uVjBuU6KUUA=,0,11,24,male,4,2016-10-27
6juoF6RRH5XsSaIOiMExqdXdIA1FDF2ZNPLcA2nH7nc=,0,1,17,female,4,2017-02-18
oK2A0g4EAh0qvmUiH71XRLp1UPezHIGctHK4bTAifWE=,0,15,25,female,9,2010-09-26
D/Gc0+OmkY/CFdh1fhwcl2a3VxapNbK5+tvvsjlt4/E=,0,14,25,male,3,2014-05-03
eZdGFJ59YG5e8heFsHFVqWrBgGmBV9iNH33ICMVmCgE=,0,13,36,female,9,2008-05-03
5YIu9eeMxF54qqJky/QPfdb64SRo2XaYsULr6SB+3QA=,0,12,18,male,4,2016-08-20
a8mVJk30ao1YB+3XWTS1PbHaVaDSkOt3dZHZNaq/d/w=,0,14,23,male,3,2015-04-03
oYGlsrmqdDOer9tHgXPDNBybexqwBQfGC/hu0s2EJLg=,1,11,28,male,3,2013-01-24
r1pACK6sbqK7d78UlL3O2max05ZaY9+v6opshpPCCn4=,1,4,52,male,9,2005-03-05
mqOEsB9qT+x64j8b0f5EYz/5Cf8F0NCF2UcwtDeTNGU=,1,5,18,female,3,2014-11-07
x0O7SEp8hTcsmGLo9013rPE6OqHws+ZsnAqn5Xi9v7I=,0,4,44,male,9,2012-06-29
AAc5aRSCib5hp6AAkHnJtaQ+TLJBoI0KyOlwxiO9sRE=,1,18,21,female,9,2015-07-24
G4mQ62WYXmlI+3jXraEi3wSo6w/2qb31yGc/l7VAKHU=,0,5,30,male,3,2012-06-14
78Nma5MHFgdLiWM81QBrQ8E832MdF2P2aOS589BAOSU=,0,5,38,female,3,2015-03-28
RAJxEbbLo6fa96IL1GxQ5Ybn+Si9KNWsW48zo8jw770=,0,8,28,female,9,2010-11-06
ygD3HhZ5/4vBNuI8jI154MKxm7eENQAyLe5VKr6b4Uc=,0,5,35,female,7,2012-01-20
dqJTxpbfRo6cPKuAsZaQ4/d6at6YjnIvtyMl5a+kAgI=,1,22,19,male,4,2016-09-23
kU6MJOG0dyymaun6zB3t3R8jsDeYpqj0+smcmY8N8ww=,1,4,35,male,9,2009-10-30
2Q9AclLQfNbDBzNHsdbb+TA/JCYtQ041vwEtYjgpbjs=,0,5,0,male,7,2012-10-01
/GwyazjbW8n0+uMmPsh2wKRRqS0OeHmqT3uAtQod2GA=,0,9,19,female,3,2014-10-24
QlQTMZwH/JIlxq98bxjnFotM4UQ7w6B9/NV6hzbSbdw=,0,13,33,female,9,2011-03-08
ADQfbxSE3rkiHyu9lUMOS1U4AMRJzSQzHjwFCMwBMoU=,0,15,45,male,7,2015-10-27
f2ZlEFKu7r1Rc3JvBRxA6C0ZDCjZezlF2f2eKXkdMVQ=,0,13,32,male,3,2014-07-18
5PtSyUH+cS3q3jKBjFHN3VUbjhclBslfWqhpY1/RjHY=,0,14,39,male,3,2012-11-03
mFFeaSNcJxeNaGVengApNxWKz+ihVXw8o3YdjFY3oeA=,0,4,24,female,9,2014-11-16
7fs2uZxUNAh6xYGMren1goltthJxl9V0d6CGXFsbsgE=,0,13,32,male,4,2016-11-11
pein6jybPQ1O1U9EUm79ChTkbSiE6nj2asPVyv6Xu1c=,1,22,22,male,4,2016-02-12
OyvPH8vv5hZyLhqQk3rj4yoZA0jpxMRtdTgeK3HUaVc=,0,5,43,male,9,2007-02-28
riKqGl6Dr1CYzoZVC37seJHDbJHz74WtlriJkZ9oos8=,0,1,33,male,3,2014-12-30
hVcP37SxbJOmuIwjj28spQGusZFvGFvu7trRoq8ocaM=,0,14,23,female,7,2011-11-13
KiMtkmdIusEcQ96yvXEHrLnWCH5WigrDbWps/UJLVxU=,0,13,27,female,9,2012-01-05
jCCFqeJVH9uRJhLyhtpRjphXS/xmVceEtrK/Fgh51P8=,0,4,33,male,9,2015-08-09
e/VRVP1ZVBg12r9KLaYbbtWc/MjN9Idba2cRkUzU4aw=,0,4,47,female,9,2010-02-25
PkJkQesln7ouR/McRsnXhReimEB+UnH6CYz/28OL2Vc=,0,5,30,male,9,2011-05-23
A7sTBzhF2zaIelRCWavYdJ/+1+mE5NFULs1lLofli8g=,0,11,16,male,7,2015-12-03
ORrGAabKvkk50dIh1VhaD37Y1KedZQ73qTjL+EtQGiM=,0,5,33,male,3,2015-07-24
6/xCoo3LqNl2SqNzqy4yw4UMtE5l23w/bguCcELszN8=,0,13,34,female,7,2011-05-12
2Vh4THLwzioc1GwzpaaQgLuNk8SeNMGXeyGIUfilLXE=,0,4,38,female,9,2009-10-08
xTXA7b8I6mehMr7G7iuJV1gtK2FdKXNxpcFMkyddPDA=,0,12,35,male,9,2005-11-01
+LxSLng6mKr+mMR6g5+zkAxAt+7zagEXXsj7Z/fyBOk=,0,4,22,male,7,2013-09-12
348vihPzY++rEmLdJs6nPNmKCOKWIZq8UKCrLFDrs+0=,0,5,52,female,9,2015-08-22
