msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
N70I6H8cJAHTwynf8YntWKJN5pWmA5hfplK3/Qaq5bY=,41,30,149,149,1,2017-02-15,2017-03-15,0
q7zVHl6rWbLoKUj3FCHSjO2caWkhhKskVfxPRyLBOHo=,36,30,180,180,1,2016-09-08,2016-09-07,1
wc41UMo4ELmSVwjcDu/WxiHkQ8aqPlhA/j/gDSkdyJA=,40,30,149,149,1,2016-10-19,2016-11-19,0
erPBTa2ewkHfvcL89+fvRlGGCgazY/20H0ROmTIUX9Y=,40,30,149,149,1,2016-09-25,2016-11-01,0
RE/kFsr/Rt+6xRlndvnuPifmBqYR74mi3/vCRXrQFG4=,30,30,100,100,1,2017-01-21,2017-02-20,0
HRYUEKR5DGD8bSGUzPz0/GhQomxoUSzomwoNeRjo+O0=,40,30,149,149,1,2016-09-12,2016-10-11,0
kc/AI71nsxEvNDEko0nCho6oltPxPmglbRndBFWXj7E=,38,30,149,149,0,2017-01-30,2017-03-02,0
oGm3OXfVx1U9P0qkDdIRL/mCF7ScnEV2cBzEdJLiR5Y=,39,30,149,149,1,2017-02-28,2017-03-31,0
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,39,30,149,149,1,2016-10-31,2016-12-11,0
vmiBwJ/jWvcpB3JQHgWvR5yqc0yr5Bi7iM31gXWPklc=,34,30,149,149,1,2017-01-31,2017-02-28,0
lFHWPZSYyg81ADcWn7qd+aO/qkRLrSoDZIdyAtq6x0k=,39,30,149,149,1,2017-01-31,2017-03-04,0
QPevBnXVYPrDIXnaG9vu5XAnmB94reNPrlQPaibsFNo=,39,30,149,149,1,2016-11-30,2017-01-30,0
0JlI9QrwbZrxN1qbBJq4qK9fpyhdzcT8jM8gy4461HI=,39,30,149,149,1,2016-11-30,2017-01-18,0
gNo9vLNePVNDHHTy4KhQs7feLQ3oQnRyiiLr7Js9qIY=,34,30,149,149,1,2016-09-30,2016-10-31,0
vF2QP7uklFuNGX2xVX9KLnhAmvO7fyOGGvw1+PxdrhI=,31,30,149,149,1,2016-09-30,2016-10-31,0
USztCkOyF7encYzuIhbEavuBEVlkRTYMe/yR4lrqyXs=,39,30,149,149,1,2016-09-30,2016-11-21,0
cmsFIPBI5f7/pxQ8na01wBi8HZWzABrbPsji6Qr3kk8=,39,30,149,149,1,2016-09-30,2016-11-19,0
lgiDvJ6NvhyrP95CgusXQbs/gz1jzKqzVfBUzY89uZI=,38,30,149,149,0,2016-09-06,2016-10-06,0
bcGyuZnAcm39I0rhwx00ElMqZaJwmLRIua7KhvVrQQc=,27,30,149,149,1,2017-02-12,2017-03-11,0
oMF/RY+6S04ZRggj6qOxHk2T4tf2dJJV6Tzg/Br1XO4=,41,30,99,99,1,2017-01-25,2017-02-25,0
qTA5iAx840IUhQ0MynaBtjo1/9w121VtoUgGl/m8D0U=,37,30,149,149,1,2016-12-26,2017-01-25,0
QneoJt9do1jDG8TPRN7HpOK/0Dg0S2TeQpXVww8iaho=,41,30,129,129,1,2016-10-24,2016-11-24,0
1yQh86HVBRX1RdfLH0EV52fy64o7HFO59GLNem0fGl8=,38,30,149,149,0,2017-02-04,2017-03-06,0
waGmStDnkuKrbKmaPtDf0Hm2bucxcok4vVjdm9pt2DA=,40,30,149,149,1,2017-01-08,2017-02-07,0
2Db6chko7mwaxiIdtgrH6n0Vb4CEH9kz/kDBN3wLReQ=,41,30,99,99,1,2017-01-08,2017-02-08,0
xNZn5SxRYnx5LQSfzz+f3BD1Gj3Bhoz1s6+x6J9bC44=,30,30,129,129,1,2017-01-02,2017-02-24,0
L+bIw+ABXrQa1bfCV2w+8tQ9fqrhig2GsjGPZlCKUEo=,40,30,149,149,1,2016-09-13,2016-10-13,0
qzkX4+pwuqTZcZQFSxuFm+9YZdvy7lYYzKwmUdSvl0U=,41,30,129,129,1,2016-09-16,2016-10-16,0
Rer5H99wDQletVs/+8zJLX5Y7hNqgNXW9ek9qgSK+a0=,40,30,149,149,1,2016-09-27,2016-10-26,0
7wmiH+fbxusTcmifm4cnKznzWdba2uzVhwzL0JP5kCo=,40,30,149,149,1,2016-11-16,2016-12-15,0
OEjGfLmorI57XwGRtgYBnoWdn3QhJsBIr7/sigaj6Cw=,36,30,180,180,1,2017-02-12,2017-03-12,0
6PRDaqGM/vnf6euNa/wGj4WU4ttAz6pc2dgtFo0cvGQ=,40,30,149,149,1,2017-01-24,2017-02-24,0
An9GYYQqeyieuHP0wS24EfURngRtBseNZoNc/nqwshY=,40,30,149,149,1,2017-02-18,2017-02-16,1
WDz3BINiTiXCSs9J5ii6Z9z44Oe4dE1Lca/nOQizQs8=,40,30,149,149,1,2017-02-16,2017-03-16,0
KdrV5DLHKMpPYebVxF42nv5G9bX4uiDIQ75xVy+1osc=,36,30,180,180,1,2017-01-19,2017-02-21,0
/z88HyhtGc7UkS3caE7i0xBwWbPCNgFwoQb0+7oL9xA=,41,30,129,129,1,2016-09-17,2016-10-18,0
7Ke37uW37OHcukU4Sf0VwuUtL7d9fRH6MWmQqtlkLyY=,39,30,149,149,1,2016-10-11,2016-11-18,1
/a3Xcu2aOaumPSbpYY2hb/WGEzcm7oxsqb/G+4Ui89Y=,36,30,180,180,0,2016-10-08,2016-11-07,0
7K9NMWVYq5wA4DHiTbtyTDbMkjTmCbuLl+vjJWUfd5k=,40,30,149,149,1,2016-11-05,2016-12-04,0
r27q1ksSyleKwlIXfYFTDEn152AtNgKjB9tbO6yneYc=,40,30,149,149,1,2017-02-20,2017-03-19,0
zuhb+4pxCfghnr+C336XwW3u4itl8AZtkMrK5HBIhCo=,41,30,99,99,1,2016-11-03,2016-12-03,0
