msno,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,291.0,46.0,37.0,28.0,2861.0,2844.0,459297.001
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,595.0,167.0,110.0,182.0,3122.0,3314.0,895573.522
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,1404.0,240.0,124.0,138.0,2801.0,3770.0,787328.394
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,277.0,62.0,40.0,47.0,8222.0,6816.0,1900771.365
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,708.0,252.0,125.0,134.0,2868.0,3093.0,768200.941
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,717.0,178.0,118.0,124.0,2362.0,2603.0,658673.57
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,39.0,12.0,13.0,10.0,418.0,427.0,101752.023
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,5739.0,414.0,342.0,549.0,7184.0,13026.0,2112167.521
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,701.0,179.0,105.0,95.0,4195.0,4341.0,1114019.45
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,659.0,300.0,224.0,720.0,8270.0,2602.0,2213068.947
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,653.0,174.0,108.0,165.0,5749.0,5759.0,1421858.864
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,1100.0,141.0,88.0,130.0,5187.0,5380.0,1337461.569
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,1951.0,1085.0,376.0,294.0,13574.0,12418.0,3675758.506
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,159.0,45.0,27.0,28.0,417.0,579.0,121794.42199999999
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,985.0,268.0,208.0,264.0,3945.0,4711.0,1107260.956
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,802.0,190.0,120.0,145.0,2167.0,2868.0,591475.82
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,1477.0,775.0,362.0,377.0,3413.0,5064.0,1047562.361
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,330.0,39.0,42.0,69.0,2433.0,2404.0,614723.035
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,624.0,71.0,33.0,23.0,2696.0,2468.0,540255.2609999999
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,2.0,0.0,2.0,2.0,5.0,11.0,1705.4140000000002
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,619.0,143.0,94.0,168.0,2803.0,2817.0,771417.993
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,133.0,54.0,32.0,26.0,1076.0,683.0,318619.599
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,529.0,107.0,98.0,78.0,5076.0,4612.0,1333306.188
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,1265.0,615.0,473.0,509.0,6083.0,5934.0,1817253.617
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,364.0,105.0,60.0,77.0,2665.0,2907.0,703733.15
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,1030.0,295.0,164.0,171.0,4246.0,5367.0,1126434.186
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,399.0,131.0,33.0,33.0,504.0,947.0,141166.621
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,511.0,125.0,67.0,81.0,2647.0,3013.0,675310.435
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,403.0,78.0,45.0,54.0,948.0,1150.0,251435.605
qUVMTzmliDleu9/sFx7smt/7noJfwvM3oSrIfSj8idQ=,867.0,223.0,154.0,193.0,3174.0,3546.0,882926.163
25Qxeyfmvf4KZ6NlpMF0JoIB5fo4RrJSLqW8qg2Br4g=,865.0,218.0,124.0,111.0,1545.0,2327.0,423521.633
FHjx5k6DdP3R50zUKVKiWhcuvUj4+oOvenYbMbObbt8=,349.0,56.0,37.0,48.0,1493.0,1554.0,390209.679
smFBhyYKpUkvyrdK20TwCqIFsme2zXJME/OogsqJ0B8=,709.0,249.0,167.0,150.0,2165.0,2305.0,592247.098
5lZeR2OGblRV2ztwlURaZB0eyK81MtwTf3zqrzPatzM=,277.0,76.0,85.0,54.0,2469.0,2281.0,635905.716
dNPeaKLGv9ypkmOyFHcRAtLZEvusMqC5A/w7/XCyORE=,314.0,94.0,45.0,41.0,1146.0,1088.0,309547.81799999997
WdGy7As+FP3lq5o3lZLLPaZf0TknvtGRPC2E7BqCQso=,481.0,252.0,89.0,3238.0,12447.0,13279.0,3770524.837
vpmNBMMPtxDqLtsXjZBjyDHI9DhwzpTfzA0vRnJM5BQ=,874.0,336.0,274.0,223.0,5835.0,6060.0,1612110.843
PcqlWGSfHce7lhJYdpugFwRUFwyAgy+jePKw1Tt8mc0=,522.0,95.0,72.0,98.0,1472.0,1855.0,387065.135
l1Hc43vzU77l7p+nVmCIhSpKFgBKsjFcdaUzRM5p5cA=,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KxRvazb74DNOFqmUq+sAObMWptpgbMslKjMtJnK4zBo=,4517.0,698.0,395.0,444.0,3278.0,7810.0,1037894.589
apGkWQbRnaqqdROZWLkYgpK1zX+vegy692zaRpnv43Y=,620.0,269.0,193.0,217.0,17411.0,12806.0,4490344.456
PyzfxMPzbPaWPlx5qViYQMWGDgc5VGH5a+jucXwdeZU=,1264.0,220.0,161.0,216.0,9393.0,9002.0,2432453.783
G7TiVD4PhQZDbVDBvTxjmWSnvFbxlQxuv4NlgyO4Or8=,262.0,49.0,23.0,19.0,4552.0,4525.0,1165678.705
3MLhPwU4shQuuCapwoku/7q5c8uN99S+xF+1B0v2bqs=,1753.0,152.0,107.0,90.0,3112.0,4906.0,835499.121
gJSa+2AVlnB7R3tIl5EggkqJ1OohTCl9OnQRzJY4XTM=,268.0,92.0,112.0,116.0,25089.0,21517.0,6119416.771
f+Cbz89h8aqHNu+W7pqdUE25lvRcRF7Hb2ROVnGoOVA=,27.0,92.0,34.0,12.0,263.0,394.0,78619.665
v7Z1Wewq8nV9gfXqOVT0/DVVy0p8ev8N4xsGxvtr+Ms=,2450.0,459.0,296.0,317.0,2148.0,4572.0,751254.2880000001
31JF1hbTZO0KYRY82zjoM+RH03S1mC0dLo2tneNB+yc=,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DajMV9SISZn1LEfYSjojwI5bt87K726k4Pscq7fkyVs=,229.0,32.0,30.0,30.0,2993.0,2300.0,764236.6900000001
hqLvEChdKUL00GRNvWSCSCLw9oqzc++OuWLvqhy0Exk=,487.0,65.0,30.0,28.0,337.0,627.0,82632.038
sleHd02kYaj5JJfh6GXS+jKbUjnWOSJ7XjYBKYdT2Q0=,226.0,58.0,38.0,38.0,327.0,594.0,98854.138
pT7sKywsRpn3QCAnz68289QNtMzn9aXZVsrymtJZxTY=,116.0,99.0,8.0,53.0,75.0,313.0,46621.357
H7SyRrSFrfQ9GYV2vjHuBuTIodwJo1vsRZoHvLbhqt0=,367.0,73.0,41.0,25.0,1685.0,1040.0,361113.501
FmG5bkMey5wbC5h8hXfJyefqUrMTvFOKWYFAdpsWPZ0=,342.0,152.0,87.0,58.0,868.0,1338.0,259400.913
tMcxMogXvWwkBgcYMWvs2rXSHn3d/gnSbv4Q8CCdDQ4=,633.0,298.0,158.0,119.0,4710.0,4253.0,1281705.684
+f2srhLduQQyuf2DqdutmIKEtXL3f7C9RqoO8B3igTU=,1142.0,288.0,235.0,253.0,5372.0,5670.0,1470716.234
vqYC1AMAmkFRFAj+EH4/RmLgqGkMCHkDd4Sa7Y9/cjY=,214.0,31.0,30.0,27.0,471.0,603.0,131083.274
M4VLiXOthDEBREaeTP+5bZVzIZ/ieBayDr7fOUKwsKg=,3323.0,500.0,368.0,324.0,6516.0,9879.0,1759028.45
thgnyuw8qd1fH6zNqOLc6u5ITUEI0GcrmmsX47/QmVk=,240.0,56.0,32.0,23.0,705.0,946.0,185484.63999999998
R7AEYvBWXW/5zxVY3fyDiTmGgFEzWhUlYnh8FbyU/ig=,912.0,375.0,218.0,470.0,14365.0,12458.0,3780422.037
B4t3Abpk4UfTqxGdLHheBuxOrGgh0hUxLL/2wH+BUuA=,834.0,250.0,189.0,172.0,4591.0,4174.0,1191356.889
4fmiIwCUm5rwpahIU2DAwVlzGH/8tqnuOWfnD1xkKL0=,2143.0,150.0,118.0,163.0,1715.0,3504.0,479618.92
DEbzYI5ks8MpIefCXdAXFjWWQWmFrJt2c7lT07vD2lI=,49.0,23.0,8.0,9.0,105.0,83.0,34544.379
CcJfGLIb2FtQvlGilBii0WeMrt1jbx/yQDx3tcAolVE=,470.0,63.0,42.0,74.0,5725.0,6079.0,1489860.302
0RoEbFdjdD1bOOnv8k+uIQH0WULAdzcRaw4Umy+2WaA=,733.0,166.0,113.0,121.0,1833.0,2787.0,525980.42
g85O/i6eYIIlqzjKcRZQJN/ht9Dzfnl6uVjBuU6KUUA=,440.0,91.0,51.0,46.0,1763.0,1711.0,453632.516
