msno,city,bd,gender,registered_via,registration_init_time
4bVPhHMFT6ZYrkzqUkcQFv/2LZMzbWI0E47Rf5PkZQU=,5,41,male,4,20170113
XbtH5QkkDx+E/kGMgLWpxXmW0V6QgxPOUqeW/BtAePA=,11,31,male,9,20060421
Qy5Vw8i+X2WgZ430f27tIwKtPyQpwAUmRJe6i5b0OiY=,4,48,female,9,20060609
iLp1n8hnIxEneAAgEG6eRpZy1MDLZxl0tlWbWa1gHls=,13,35,male,9,20060706
C8ZozAkFkUZ+YTmdWjcJSiZ6DJT9rNaQvuFdrkH7jrk=,4,25,female,9,20060708
teyU6Vm72azf5utjYl8H5J7OqLQVLpAWtJBEYMnPvcQ=,4,69,female,9,20060713
8y0D4+ttSCrxOVQrjAfe8jMjbK6ejQqSeWh+ep0Wt3A=,5,39,female,7,20110926
3Cqsdyfm4nEpKkX2dr7PvTqfwYEpP6oRuOPtSNKMfPs=,4,25,male,3,20141102
t5yN5FwhvS85HXdLxWT4LQnBEuWLGrgULdkw7GlHLkc=,5,30,male,9,20090202
OMvOOgSWIt0d0oXGb2z8ycz6yxV4/VY000B9ErSYTYs=,4,25,male,9,20090213
fkiIqsB95ZopOfF3KPj9sHsITlFfhJI8yCLEq1eaxlM=,18,38,male,9,20090228
7yidN8cWzp3bqfnYIUoEjG/G7nk314XqflAa5OO+VNA=,13,29,male,9,20070628
gJ67g7tS/0qTcijQGZk6+qX+hb4Iuywg4SrVijqAVuc=,6,35,female,9,20070909
vq7V6ZnM+fJybuA0/ZJBgCxLC6ZV3ccEZzky2xlwnPA=,13,29,male,9,20071216
qPtkrt1m/8tX815Lo1tTchWTA2u6kBIzmtWbaQkC3nM=,4,30,female,7,20170107
f6yegP5EkZHL+1NoZ1m7O73IWIIPUreYb9RFf74pWsM=,5,51,male,7,20170131
WIXkbZ9jwtwrx+8Apnj6VlgQhVgBGGiQ/rWx23QO3pE=,8,21,female,3,20160722
3lCXbgqVwGgnQPvszhV72WrsoslxhkhVvGrIuPam0QU=,13,29,male,4,20160725
GwDmaMzGxx1FOFVs85BrIpd6pHP8o237otPaphKJdNs=,7,59,female,9,20070607
rHXy4hDydEBeBCNh5pSR6zDGc/CXCuAIfHR5gS12ROk=,6,28,female,9,20120312
z0qp1Ccq8zBO0ZXzoC4y9OBbAP3GVw4bC0ZOiFWy7jc=,4,51,female,9,20120403
zK/pNOymjiMK7L6NmatwBnDPBARldNuzs+695vjlF08=,15,23,male,9,20120424
fiUApm0bnyJrbV6C2cHRn7EKolAUby+ke+YNFTy7KNk=,4,22,male,3,20131110
QsDmUcvtQjimc4vNF8qQ0tE09I3sSfE6HNNs1cYNFo4=,13,42,female,3,20130618
xTU+phPukJ2jwpb83soQIihR1e6CH3o4KXDzfkOhqMY=,13,62,male,9,20061206
uaxig3rQHwPYFMVSoBTpGCSzjmBa2wSctUISbDNOHvo=,5,54,male,9,20070428
sLkvufLeRZJJmlytXefQxC3bvjOcoBSFe4bzcz5G/Mk=,6,31,male,9,20090901
eHTl6M99ijIBUPrO9zUVKhhKwDO7gPqbZU9/uoBq0UY=,5,29,female,9,20091105
TzhKxyhOEGAqj8wk5o8FCzOBTj8Xh4Wv2j0Fm6JIl3Y=,1,31,male,4,20170119
XYhnsYGXZdj7q6xBJAELU6hTt5B+/q6Ybv0z1GrQjeA=,5,41,female,7,20100414
jlz2aM3Fp6/1QztmSPqjO5+DsChHQslVwn9qJEAsNuY=,6,28,female,9,20100513
m6TpEdePtUIc2bNBUY9n2+TREEJNu27QfqR7KIHo3NY=,12,48,female,9,20100902
QWXWohwP2Gy6ki7HvXK5P9ks0GnDY07qTfBKvqLJE/c=,6,20,female,9,20150902
/Ff6G1PcZmBszfZtppr4byLCyRR33TwVcInvCXZ+EIc=,15,31,male,4,20170122
iPSXGXVY89vBAli8K6x9lapspTth/mbyckhyFG3XptA=,1,24,male,4,20170122
U940F1qBqDsSqRXhlYxd+9hBGXXl5gfzeCmgUrNpZiM=,5,24,female,7,20110721
M22s0JjIZx30jTJAp42WaODGIPc3ooORmJ64u8JvjYI=,21,22,male,4,20170115
LzPzh/jMQlpXt2Kp6feMt6+gm3A5QQPny1tjZUK3q7k=,13,30,male,4,20170124
3ckmnjPzovuQ7i9N476G2LYZ2itH7Sr/aKVztXp4xdE=,9,22,female,9,20130718
AU1AXuhQriNIxQC0uuejqAEs1mABCIg+TClnuhjFrVs=,22,23,female,9,20070815
6jrjlcszoLvl+Ycq2NPrTtTxvWZ7ayPWTKlTdBYh45s=,6,29,male,9,20070927
lCEzMT5oPvyT1lRMXRLbDyvXadp+IBGNQ+VZQs27Mrs=,4,22,male,9,20071122
goj8lz80dqe6TW6BpBfe3A4Rpbbd5Io4UFgk4cIelIg=,17,29,male,9,20071126
W1Kh+z0JmbPjB6Ug13a2TzM6abAs7gMyAaeOCtsBgfI=,15,42,male,9,20051105
droVCwHrJo8APbrIGc/ISdAlOWirnLjkxbDHQfmr5sg=,15,35,female,9,20110720
hGzkm2NbC+JoXt/i8Tjd8xc/k0rBBK/ZPYdvkqJ35pg=,13,28,male,9,20060709
k9mHPnsFhCLx3HLJV86JnnJuZNQfjWDbWFqtyPTTjcc=,12,24,male,9,20070501
sRhLR6P5WYcJX2Zr7tgPEDde24kr0NfCS6LAWToKI/U=,5,25,female,9,20070804
/jZsJbo+7qqFMh/yB+Zp+ODRn6zvv5JPP2RHIqK5CeQ=,13,35,male,9,20070810
hRHJfN8JaVqN38LV584EO8vJKi9Z9IbcI+eSbCM0Lps=,14,24,female,9,20071222
aD+KSIaf7j/vlhEKnJVIGngXCri7C2pIjRmSwiAcEKk=,12,48,male,7,20160421
wM2J8Mwy/xBizrg7RYMCT6hc14i9vMjb3qUublik2R0=,7,43,female,7,20100428
YSirns4kN44D8E52XRVyvLSnnbwrNrUTC9vYm1dyE2I=,3,25,female,9,20100901
WSp9Pq2E8Q2DXCAGekycMHxGAOfIY3wku0itRQrm6Zc=,1,25,female,7,20140915
MT8N91lnNH55lk0FdkwgLoHQQAoLdUM27w8s5/2p+No=,6,55,male,3,20140306
0nZ+g8aadvIKXVIT55xKn8MhvQW/+TbuvaJKpWevtp4=,22,29,male,9,20050520
+gQhfm0YmVRrwtb+CA6YMdyaqqAg3YcNUc4Ik2TlIEU=,9,24,male,9,20120207
TffEUKo3C6DUHy153jmuRuhIe7pu9zq/WLZwOiPqsH0=,13,43,female,9,20120330
