msno,is_churn
dOv+5cryoV40KCKk2qmlCmywL/suDL9Dn8R/QD4vUHc=,0
TCHmPRu8maBXiSh8UK+nEuN8wN2BRlOsOOFd1Hj6T4k=,0
1MBTtHmSSkRb1JesAvkRqxQuoPFYi01VbbUSWZ89W44=,0
Pm7WyqE0/16y9ZK/0TVDuXSbRsd94w0Dy0psJaXI1So=,0
op64vOl08129xYhd16uOrUEHb8wZ437T16rUhNlW3CQ=,0
pcjl9cPcTnCJcGO2Te8VOvwBfj/GQtgx00TMX2RUNKo=,1
zwbXcjVdzP6zKPjYumUhzJpnJqLJwMr8GdLmGIIYTO8=,0
JMM2pZ+apU8Ok6g516sBvcTIXWueZ/amxaIYHdygMCE=,1
8Dkj2/KgL28RDK8HnbXdscJxbcHs952OcO8mzcyctRE=,0
zxs+SPlliv5mcPTyJ8oebyGZ0tu7GIYs8D2Bizzom88=,0
qAdq+dA0Hu2IHC4dKki6z3h80Xczde89sVKnIJ/luTE=,0
VWRoXzjBUNxroOT8D6fmJfHJFRdnqNyg/25Lqd01qHw=,0
8p5OCqht3N6sMInx63msU5nPJuwEL742MCtOQ/BfBuQ=,0
YuV3C0z0pbnnWaDL1cBEwCDe5S1agrNVkqt8C9pX+vU=,0
IeSmc3Xq5hBBuk72mSke44KqHMkJg2l2ISF8MhCV1gk=,0
Chr7xYdGiAE83ZizezZqh+24TOmzQjbiy9mpaOhLLlc=,0
xYX9Pk1GKi9r+H59v3adSExpIqPNnUaa8Dix4m5IOGs=,0
g0LtiCNdX3TdV6mTPAnUJ98avdfZszEEM5+4B194rpc=,0
2fpSlPOZfqLa0tjF/g/cdskvksOQ9y3xyYeqVyyGpkk=,1
EVELvhCF+5OrvYst4GJU/a+ofFXe0tuDLoXUdmUq394=,0
3hg1AkAVkrmv43YJMV7pCnlOlu/OVoAIBmknmcQrftA=,0
3AD0Esva/V9f+z/A9EZepMhucFkvP62yGWcV2tST9Tk=,0
dA5rR1JNYY9tuO4dhZwiXZ3KWD+nKzXf0bg9jFN+pLY=,0
lPCMM3fxZdCc6Q53bTYBgKmAm4lcmVYrHaGpCXYXTnE=,0
JZ+6Hc9iRLSndu342RzG5b9PwnafOGbWVsEwIVon+yA=,0
8kKSFWnmFgTq8jX7ZjOzDi1m9SXRm3ofm4P4UYzZNFo=,0
zqkgkDE/bg20MKmpfThKIy9XKv/vOY05FdafO2vjHsI=,1
Dou19LvuSjtMh2BLLIrCGWhKKG1x1YgF5dCNY2qii+s=,0
Tf/yb9k6W9OixE7rNzT7ogzEt6SG5v4bZlHz6IsGJ4g=,0
NE+McazX8U4r8gye61lBcRDOZPRd01cGEfUZi7ZBVyw=,1
1hWfMuIfcjiacqiyjpEjjEZhlqgHFDbUyz7ciILRVSo=,0
sd87HH33V+KzIzY2NPo9qkpyf2EhYLfKXpo50zS6h6k=,0
