msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
zw30zrUQUtiWnOYVEj4aMnLb13ENvOYtnnWq3bS9Yl0=,31,0,0,149,1,20150930,20151031,0
YBEZ0orFKfVpm2oJU0UN+iTg0Oz+8jWoGFLnNGGczQA=,34,30,149,149,1,20151231,20160131,0
a43AlfJY5BuFIKdXR1+SvcvzfvpNWDexol+209YVhWo=,39,30,149,149,1,20151102,20160106,0
+WBcP9wilghH+l2AUX9SM9Ce2Ouq438CHp4B8bN+dJo=,39,30,149,149,1,20150531,20150715,0
4ONBBzqLvcxAPwl+5cp7qbmyf7aq3fmTK1c7Bi/u820=,40,30,149,149,1,20160720,20160819,0
g7MR3ziB3xLxfex7v4GiruMITdnwFaGosDAo2vtewpw=,41,30,149,149,1,20160204,20160304,0
G6U5nVIf6jmRqgaUBd2BBSBVM8X/Vwfk0Olmo8zol4w=,38,410,1788,1788,0,20160205,20170321,0
ZkFG9TErxf5QdcF9T+jWAF6TurWeN6jK+56M5lsvfhY=,41,30,99,99,1,20160705,20160806,0
7rUO00YW8QyE3hOr+m1xXJY5JH6sB1AXf2swDN2D9BU=,41,30,149,149,1,20150919,20151020,0
KtfDC+QKgXU44i/zpBps5v1fmrBZBoDvE9SFawQkXX8=,20,100,480,480,0,20160830,20161212,0
qlWG+irAL+A63Ljn/wYYsHJVhK7qlQnJCOgkGPKeipc=,36,30,180,180,1,20160807,20160906,0
nq50tQ0lkOTnDeNtZ0j32TzRGfg7LMS5rzbIkHxAM0E=,41,30,129,129,1,20160311,20160411,0
cpc9dFYbLX6alLKlYcTcoCvvbSgZOYoJuZ5KCwa1zWw=,36,30,150,150,0,20150820,20150919,0
ZNmzoaDGfIAav74fmf4OgrPlzeuMQTWVrcGs/QZO7x4=,34,30,149,149,1,20170228,20170331,0
iVWzzhvX+ayuwD0bZfRI69hNv0UkVWLmTh3hqRvYoKQ=,31,30,149,149,1,20170228,20170331,0
Hxx+9IOKxt+0Ud0qiu1GaYA11xQyJ6ZsR22oJpedyZk=,39,30,149,149,1,20161031,20161213,0
zceiyDuUEvXCUjy5iaDLmViBEH2kql0gLNzVb8ezHNg=,34,30,149,149,1,20170131,20170228,0
kFaC12f7YCySB64WdKBwmZGKhtrEpHO+Jb7aXJvbiOA=,33,30,149,149,1,20170131,20170228,0
lFHWPZSYyg81ADcWn7qd+aO/qkRLrSoDZIdyAtq6x0k=,39,30,149,149,1,20170131,20170304,0
Ga4SXVNKRnzioJLhzLmpMUZYda11zq2Wn6yYwMVoy9E=,39,30,149,149,1,20170131,20170304,0
4CHj9lb7SxWYEv8fyXJToZyQJkATb9MWMKz3abulst4=,40,30,149,149,1,20160901,20161006,0
UFKyVdTyqaJOGWUB4lSXzYxCMPOZGcj3Oxgh8BePA/Y=,39,30,149,149,1,20161231,20170309,0
fpRAo6iocxFi6Z1OdIPudKQ4pqMI3l9Dt+L7PvtwXP8=,39,30,149,149,1,20150630,20150814,0
9KD6uas6MAh5atT4yYflZTbolkrMroGtyBHHB+9Ly6E=,39,30,149,149,1,20150630,20150817,0
QJYdcjFb6uj6mtXZxq1N/RZNiUQ9XnSsssUDN4nOdiQ=,38,30,149,149,0,20161216,20170115,0
eth120Nf97l/+KrVKIavBDNVypVYfPMAYHm4OrYb1p8=,36,30,180,180,1,20161215,20170114,0
Xeau7gTN5RhMs7tzYV1F7v34OCP4O3jYXVqOzTYHLTk=,39,30,149,149,1,20160305,20160404,0
ax8CRhY8BMRA/ZvT1wI+2N/EdPXiSPGxa9y7bntA1Uc=,40,30,149,149,1,20160504,20160608,0
Lk69JzpKMlGs6lq7Jnxqpxy28zR7GyMfkyZS4UNyuH8=,37,30,149,149,1,20150607,20150707,0
foP1R+vlUmNLN7oOa78fpwOyVJVPwOfNT49zodRTiZo=,41,30,99,99,1,20161015,20161116,0
4E58tGJgOCx2oCg2OxQbBZPHjU9nL005gjfNYAEIKzQ=,41,30,149,149,1,20151104,20151204,0
OasafQe8BUzT55L+HkP/eiV1pWRuo/3yGJQtS+Te7R4=,40,30,149,149,1,20170213,20170313,0
cwNYfpWmspMUI9xXIdzBgyq7nqS5pOPcDhZRBlKnsa4=,36,30,180,180,0,20161211,20170110,0
BAZZv70o7aAanFxw35kDemvfP0u0bPPwY50ELOXFUEQ=,37,30,149,149,1,20150609,20150708,0
UgJFLHp7bbSP0UXdj2wvYdoq0VHTNLWqBQGHkzSty2Y=,37,30,149,149,1,20160608,20160707,0
XooX49o3JTan0aN5qVoIoycWr6qFfXijMmEcU8qT+JA=,41,30,149,149,1,20150807,20150908,0
4Wv0rPa633yXYVl7CA8ePJOc4Dd04PYOksBtO/QT7Rc=,34,0,0,149,1,20150930,20151031,0
o4ac2TCF7c/o5IMs98QklG/1eOkMs5Pp6Ghjryc7VqU=,21,31,149,149,1,20150331,20150528,0
yh5BWkQddFfsGu4Q52f0XmTyKeO8e66khbwghSwEQic=,34,30,149,149,1,20151231,20160131,0
SXqe3FveCTNrOnK0U6lHA+wR/IHyRAZ+GwNlRt9gbUw=,36,30,180,180,1,20160720,20160819,0
efNlEqV1ji7FCnPTp2YCQRmoiqhU92xSDwUVtCfkWq4=,40,30,149,149,1,20161225,20170124,0
HEg6b4gSCoY4lIyzzibwBs2BJ5L+O5qTSPrFXByRk7s=,38,30,149,149,0,20160108,20160207,0
osetWRwTAsJ0y62TaRLVcQFngizJfdXRx7auDIbOy3I=,41,30,149,149,1,20160221,20160321,0
5JpJ6Qm93x8Udz6oHwAjFRjB7bpkOMv1ti/hKRah5V4=,37,30,149,149,1,20160404,20160503,0
x25l0G76r/eoau8rDyYy29n9RWcrkmt0IzJFvZ0c9dc=,41,30,99,99,1,20160928,20161028,0
jt5PXt4BdNo+1SlE9dvMzS06MNzWCuh982wGALi+tHw=,41,30,149,149,1,20160415,20160515,0
FLo7gUK1FqdkryXUHO+l0CuXmK86mjSt0IznA/oZdmQ=,41,30,129,129,1,20160207,20160308,0
wzIkhdpF96ctb523aQ97fdASeXf4pT6PHbM+4lwC0Yo=,40,30,149,149,1,20150813,20150912,0
bZBL6jRGO75yLVHwiksaSrtRYzeA2MYBH5Urt08npjE=,40,30,149,149,1,20150619,20150718,0
AnQscj9oFFX1B4Agxon3vVBzLpSirXKq5LP5P+y15/o=,40,30,149,149,1,20161205,20170104,0
4B7xJhLISd+dT3UtbnIAjUk/gl/7n3lvtljPEnTsKjc=,38,30,149,149,0,20151205,20160104,0
4FKEkvER8rvxadQvqZJvACwNfFaj2EAxjC3tVyrhymM=,40,30,149,149,1,20150718,20150817,0
3oZTZE7ukfMA65IkRKByoI81OBqXun74++mzvd+/0nE=,38,30,149,149,0,20160229,20160330,0
vSM+nx3GSzkMPZskXJcjpk7aBwlWorC8m5meg/OXetU=,41,30,129,129,1,20161026,20161126,0
c6EUyJiRgjEwjOC2UMl4Z1iU+3LzK8m9VSY0hIXRK6E=,36,30,180,180,0,20160819,20160918,0
jHaTC4YN8BvaSWukzJQKD9pw/O0ptdVpv8BLKCSvpq4=,41,30,149,149,1,20160908,20161009,0
RrOVVPVZtKYmgtyG/IOgSs50YL+qiLEWjxZRWBkIRq4=,39,30,149,149,1,20161031,20161207,0
MhIYXH9qeDgXO++zzlhW93l0gBCSBJ5ZkIf66w6Ufy4=,34,30,149,149,1,20170131,20170228,0
IrOfKqLqdImZRoqeJq/Elov+YLpE+kR9W4zAcM/6UTo=,39,30,149,149,1,20160831,20161012,0
M61s/6YgNf3jm4vYoX0WkqzA7U2VDUrlbNfZ0PlseJ4=,39,30,149,149,1,20161130,20170110,0
xTU+phPukJ2jwpb83soQIihR1e6CH3o4KXDzfkOhqMY=,34,30,149,149,1,20161231,20170131,0
y6+8ikHBx+A90s/EtrQvaKzCJRgyXkYU+0GzCkbbvos=,34,30,149,149,1,20161231,20170131,0
kzAhwI/kdN7IO63zAokKuWqgvab6GwaM+rwn/6cQWko=,39,30,149,149,1,20161231,20170227,0
3x0zh+7SxEzHcEVicQTYdKhHWlEwPXi1qw585AWWcLQ=,39,30,149,149,1,20160731,20160926,0
3koAXA9EuNoPkmQc2cNZuGH0jo4cabRvW1KxY4na104=,34,0,0,149,1,20150630,20150731,0
9Q69by+GWIb1O0g384WHx+qfd5WHOxHmvdFpPJfFYbo=,34,0,0,149,1,20150630,20150731,0
nEOIYfBirxvdBtkQnglXAxBVCiPVPs7QblFf+lWjgBU=,41,30,129,129,1,20161005,20161106,0
AZ7TAzQr6p/+pZZpKppvEMh4v0VIQuBdvRY0p2YTyG8=,37,30,149,149,1,20161226,20170125,0
2eTVy4ooTm8EYCeYGT9Wm/BhYmrubgCgJPc6vYfE9ZU=,37,30,149,149,1,20161224,20170123,0
Lc9US5cXEoyBbnepPJZV8pMAWl5SN+rt30dB2HcMkwc=,40,30,149,149,1,20150616,20150726,0
2+3b4Eexe5luHaciHXpnpCitFkIcUuBjPCzxYa4DdgA=,40,30,149,149,1,20150827,20150926,0
DWqpYruZDqHAZvqJoD+Bzyal2ntVF50X4ILXsaMrfc4=,41,30,99,99,1,20160218,20160318,0
JStat3d8/QGMU6NHhoLpHOSl7JOCZvskjkcm4BwQwl8=,40,30,149,149,1,20161103,20161203,0
MkRNDdrHpSJ4RDB5LqPqiLyifMr08usq/C588cDI1s8=,41,30,149,149,1,20170209,20170310,0
j0IvRUMq2Nf6Y6cA2dydQHCuuDS62rVY2+WVLNu9/Tk=,38,30,149,149,0,20170107,20170206,0
RS4WxcMAUJDFtaSLc1Ykx7Z6693ldsHNhBj6en648R8=,40,30,149,149,1,20161223,20170124,0
+mXjlXmjBtmwO3omhPpEdVuQuk5r8zB/l0shy04SouE=,36,30,180,180,0,20160810,20160909,0
jOD6CRha9e0/YDt+sOvke13xjq6qNHT0GmIkzA9PzWM=,41,30,149,149,1,20160603,20160703,0
L/1SKkY6FK4SR5W5MGCtEQdNZ5rjz0NFZYxbJf//Pjk=,40,30,149,149,1,20160114,20160213,0
Hv29yf9fOUJGcIHUwIRoXfGspXJPeAlLoZUcr7LTL1I=,37,30,149,149,1,20160410,20160509,0
vMx1Gqg/BMJSEqfT5TOLAlW64scDcr0rCzkMnpC/bjg=,39,30,149,149,1,20150930,20151107,0
vpOAQUIcKqDRZIrUr0gxJV6NadT6Eg+IuA8d3TZnNh0=,39,31,149,149,1,20150331,20150526,0
I8fSMRMqBRHYxZicnhpwnWmaEfgH8OgeMWEzs9n1CUg=,39,31,149,149,1,20150331,20150506,0
yZzJQx46TUtBQ6QBSBjDuoM+7SHwtC2CX/2WMujLdWw=,34,0,0,149,1,20151031,20151130,0
xG1bjTg+9vYFxFZ+2ui4yQ7vsvA6RxDvA5k06GhRtBM=,33,30,149,149,1,20160229,20160331,0
dEuUWkVdF49BO30j54gUqRfAgQnVurP0/DXbWD8U3Mw=,34,30,149,149,1,20160430,20160531,0
GlQz418I3nk3scKdxVfME9ajU4XX2cJRzDcqfIJanvc=,39,30,149,149,1,20151102,20151213,0
j84dKRN5PprSdrvAlJQvOcgM9ZOBOPgIe/cqU4Y+8tk=,33,30,149,149,1,20150910,20150930,0
AIhcjgMWRzicrovmyYZSbHNOPRhtNQJkW2Uwo7h98MQ=,41,30,129,129,1,20150723,20150824,0
AcylUPbdfbRKBl3tJMFQNEZMs/tWKipvdobdtgvqmDA=,40,31,149,149,1,20150415,20150514,0
4igXztKVKqF/axBg4o/13JM7xa3UZ0XN7arIMsSxyTs=,37,30,149,149,1,20160110,20160216,0
rANw43qZ8M6lTAXhoyZ7T2d4UjyPMhkxdsGsVklVFQs=,41,30,99,99,1,20160105,20160205,0
VFZCgvpjW0rvHy7fTg8IItOdyt4QZF4ZJVW9AbsmSHc=,38,30,149,149,0,20150820,20150919,0
c0o1h1oQHW1LFD3nXqJC4gDqDH9l9zKdp+3Cu6Ea0UQ=,38,30,149,149,0,20150308,20150407,0
5MsWf//u88meW4sYYDEHmyBZkrE7ZpBaZVCnZg5GhpE=,34,30,149,149,1,20161130,20161231,0
nDvuZvBTfHuCRqwN7P66KuPtfbVQHhyg4YzRr6IDfeY=,39,30,149,149,1,20161130,20170115,0
xg6it33CujTw1dS8r5exSHCn7cFyiTB5Bhe86dJ8z6U=,34,30,149,149,1,20160930,20161031,0
pX++JZp0zz1laCl9zy6qp0CbAXA6AQeOLVHnbAbV6f0=,39,30,149,149,1,20150831,20151030,0
Maexthhku0POGYsZcmA6jx+uOkf1O5SQX7vUtWUekY4=,34,0,0,149,1,20150630,20150731,0
KmZeUqTr2NpSoa8C4sjTVlW7FhVzDP6rYYxGlDZNfzk=,41,30,99,99,1,20170203,20170304,0
nZIFZ2CQKHNyrBHUNl8QKYYxJNLWoNaCjWr2RsoAQBI=,37,30,149,149,1,20160407,20160507,0
BROHWw7VB8dZvbEr5sFJE6M/GnL3Lufr2ZxaEmA+4tk=,37,30,149,149,1,20161208,20170107,0
qyM2X1u+Khc++s69qCcxLIsUU/DVTV9ajJgssEvDM9o=,41,30,149,149,1,20160918,20161018,0
j2wg6rjNik7kyJ34eRzfdzuEWTV/RRM/Jico832k/O8=,41,30,99,99,1,20160816,20160915,0
uAx+H2DM6SRsE22ecP3XE1ufdMXSXnfbQEAcZf7a2pk=,36,30,180,180,0,20160924,20161024,0
Th19CrzLMqLRjKAFSU232wdUn8U2zMGtBDRe6xpXUDI=,40,30,149,149,1,20151015,20151117,0
+ln+yxETx1BwXWmSpSsz2PlxZmvRZDzWQ1lF1b2Ii0s=,40,30,149,149,1,20170225,20170325,0
HhKobiDSpzJso/D8s93SaiO8dHu4jvV1mSHZRUWARKM=,36,30,180,180,1,20160813,20160912,0
gRwPj+Xy3IWRThYwP8CKV33vgiEqumMIrlGhlYH1h9I=,40,30,149,149,1,20160815,20160914,0
K1hXWcifQwbObGPJvWbV50CGO7ZyFTk81+GywBqpjdM=,34,30,149,149,1,20160417,20160416,1
rcfwWGMyh8tK0cayPiCyqZbDYCEPuKBbMFKLFce1GGY=,41,30,149,149,1,20160523,20160624,0
eXgPgCWVpL7E/aWTi8/MCE36lw56JNdU+zQw+T4SlAk=,37,30,149,149,1,20150722,20150821,0
CBFkRYEDxlJ+is6N+lXyAmP03sCRE1IzZxJoJ8Ox6l0=,36,30,180,180,1,20160819,20160918,0
wQmzsSU5Kmvcmo2xaT3mHwYX1cD9OhC/pYxn09pTu9c=,40,30,149,149,1,20160123,20160223,0
CCYq9wjIwKPTIRBSdbcVoY0q8kosqJxC62AzXoOa0M8=,39,30,149,149,1,20150930,20151109,0
CxtN3yD9dMmYWGy7LQRwz7tqVgf6XnYxp9/tOadszzA=,39,30,149,149,1,20150930,20151121,0
46VwGjeGywQFcAwTcVfaCN5fPL38kUqHztL2rcIxq6s=,34,30,149,149,1,20160531,20160630,0
slrCbtvdzVdzZwl7XJXtU2WgU+C6hVBDszOSyt5HDlg=,34,30,149,149,1,20160229,20160331,0
RxrcJctOdO6vcIHhXSihluyY5CobYsxTlENzDT6Zvx0=,33,30,149,149,1,20160331,20160430,0
6aL7Y80IIdw9qGslGTc6ySd5GDfxM0abZjNIkHXoLJ8=,34,30,149,149,1,20151231,20160131,0
cnrVfg+bqxhFa66lkHyFqtzDlC0JBPJwfQakWvBGXKU=,39,30,149,149,1,20151202,20160112,0
0Szu/NObD6kdGFna/phLrQ/Qv8oGLpR2MXh03ftf0jc=,36,30,180,180,0,20170211,20170313,0
iHEl7CnHuxEx6+4KL3nshzpk0mK2KRv1izxnnd/aJLs=,16,30,149,149,1,20170119,20170218,0
z6XNm0pTY55ZH56ByA+OKPJSXrc5l2nCIOTS8hZYbc4=,29,30,180,180,0,20160924,20161027,0
NnFG6qXbabUR+4Ud9anG3UuEOWWSejJT2ihriv/nQoo=,40,30,149,149,1,20160419,20160518,0
Bj7UE77NfOGRq6nd9OxralKETqWaGsmm8R01OrW2YD8=,37,30,149,149,1,20160124,20160223,0
URsubfF1Nch8QBJk/RYp7WeDFlBNwaWAwtobYoHmP0c=,40,30,149,149,1,20150907,20151006,0
1D9suozeBMorYdOiO4/B6+aRNj4gRmS2wKFrOIL4JJU=,36,30,150,150,0,20160131,20160301,0
IyIPk0tO/VQTeZb+FFKG/Sjt+hMXILBEkbwjqKzo4Qw=,39,30,149,149,1,20170131,20170316,0
cB+fyCYgHUhKpx/zwN5cFAuhmCFQIjcXQOiCtUgSpvg=,36,30,180,180,1,20161201,20170207,0
