msno,churn_probability
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0.024460673
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0.062018756
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0.016858991
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0.0049721436
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0.033367865
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0.021313177
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0.032532755
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0.01690502
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0.028829118
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0.024929395
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0.012707946
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0.14806323
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0.024098998
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0.025963007
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,0.945738
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0.08271548
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0.027108938
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0.35943297
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0.0019827555
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0.044289105
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,0.997973
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0.00835713
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0.013990701
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0.036800876
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,0.9582577
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0.32238665
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0.09625498
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0.08965023
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,0.009739672
