msno,churn_probability,reason_1,category_1,reason_2,category_2,reason_3,category_3
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0.1896,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0.1462,특정 가입 경로(플랫폼) 특성,사용자 프로필,플랜 가격 관련 요인,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0.149,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0.0908,98.5% 이하 청취 비중 높음,활동 및 참여,전체 스트리밍 시간 부족,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0.1093,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0.1439,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0.2222,결제 및 갱신 횟수 부족,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,98.5% 이하 청취 비중 높음,활동 및 참여
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0.1719,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0.1228,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0.1772,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,전체 스트리밍 시간 부족,활동 및 참여
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0.1575,서비스 가입 기간(장기/단기) 특성,활동 및 참여,플랜 가격 관련 요인,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0.5749,자동 결제 해지 또는 미설정,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
