iter	Passed	Remaining
0	47	23945
1	95	23700
2	141	23468
3	185	22964
4	232	23008
5	276	22785
6	323	22766
7	371	22865
8	418	22829
9	464	22741
10	510	22685
11	555	22580
12	603	22593
13	650	22576
14	696	22526
15	742	22447
16	790	22467
17	838	22464
18	885	22426
19	932	22381
20	978	22326
21	1027	22317
22	1072	22246
23	1119	22212
24	1164	22132
25	1211	22093
26	1259	22070
27	1314	22155
28	1361	22110
29	1409	22083
30	1456	22042
31	1508	22057
32	1552	21967
33	1598	21915
34	1645	21855
35	1690	21783
36	1741	21794
37	1794	21821
38	1843	21795
39	1895	21792
40	1943	21759
41	1992	21722
42	2040	21689
43	2086	21619
44	2134	21578
45	2182	21542
46	2230	21498
47	2278	21453
48	2325	21401
49	2374	21368
50	2418	21289
51	2469	21277
52	2520	21257
53	2571	21234
54	2619	21190
55	2662	21113
56	2707	21038
57	2751	20969
58	2800	20933
59	2845	20868
60	2890	20801
61	2935	20737
62	2981	20682
63	3032	20662
64	3083	20635
65	3129	20582
66	3173	20509
67	3219	20450
68	3261	20369
69	3304	20301
70	3354	20270
71	3402	20227
72	3444	20146
73	3491	20101
74	3541	20068
75	3591	20035
76	3637	19984
77	3682	19925
78	3730	19881
79	3778	19835
80	3830	19812
81	3877	19765
82	3928	19737
83	3977	19696
84	4026	19659
85	4075	19617
86	4117	19546
87	4164	19499
88	4210	19445
89	4256	19391
90	4303	19339
91	4351	19297
92	4399	19254
93	4450	19221
94	4502	19194
95	4546	19131
96	4594	19089
97	4638	19027
98	4683	18969
99	4729	18916
100	4778	18879
101	4826	18833
102	4875	18792
103	4927	18762
104	4977	18726
105	5021	18664
106	5069	18621
107	5117	18575
108	5163	18522
109	5211	18477
110	5256	18422
111	5301	18366
112	5356	18343
113	5407	18310
114	5451	18251
115	5503	18217
116	5547	18159
117	5590	18099
118	5636	18047
119	5690	18019
120	5749	18007
121	5816	18022
122	5882	18030
123	5946	18032
124	6015	18045
125	6077	18038
126	6141	18038
127	6201	18022
128	6265	18018
129	6340	18044
130	6410	18055
131	6474	18048
132	6537	18039
133	6600	18029
134	6662	18014
135	6721	17991
136	6787	17983
137	6857	17989
138	6922	17977
139	6979	17948
140	7041	17928
141	7104	17910
142	7165	17887
143	7224	17859
144	7284	17834
145	7351	17824
146	7411	17797
147	7478	17787
148	7544	17771
149	7606	17747
150	7663	17711
151	7724	17686
152	7794	17676
153	7862	17664
154	7922	17633
155	7985	17608
156	8044	17575
157	8110	17556
158	8175	17534
159	8241	17513
160	8302	17482
161	8371	17466
162	8430	17429
163	8489	17393
164	8551	17362
165	8614	17333
166	8674	17296
167	8731	17254
168	8789	17214
169	8848	17175
170	8912	17148
171	8976	17117
172	9049	17105
173	9122	17092
174	9197	17080
175	9269	17064
176	9351	17064
177	9479	17147
178	9573	17168
179	9648	17153
180	9717	17126
181	9788	17102
182	9858	17078
183	9925	17046
184	9994	17017
185	10055	16976
186	10118	16936
187	10195	16920
188	10263	16888
189	10327	16849
190	10390	16810
191	10448	16761
192	10507	16713
193	10568	16669
194	10632	16630
195	10696	16590
196	10764	16556
197	10832	16521
198	10903	16492
199	10972	16458
200	11033	16413
201	11099	16374
202	11163	16332
203	11220	16280
204	11282	16235
205	11341	16186
206	11403	16141
207	11465	16096
208	11524	16046
209	11581	15993
210	11644	15949
211	11710	15909
212	11780	15872
213	11849	15835
214	11914	15793
215	11980	15752
216	12042	15705
217	12101	15654
218	12162	15606
219	12224	15558
220	12286	15511
221	12341	15454
222	12399	15401
223	12454	15345
224	12509	15289
225	12566	15235
226	12629	15189
227	12690	15139
228	12749	15087
229	12810	15038
230	12868	14985
231	12925	14931
232	12980	14874
233	13041	14824
234	13101	14774
235	13165	14727
236	13226	14677
237	13284	14623
238	13343	14572
239	13404	14521
240	13460	14466
241	13528	14423
242	13586	14369
243	13652	14323
244	13713	14273
245	13777	14225
246	13837	14173
247	13909	14133
248	13971	14083
249	14026	14026
250	14082	13970
251	14143	13919
252	14204	13867
253	14267	13818
254	14334	13772
255	14404	13729
256	14479	13690
257	14548	13645
258	14619	13603
259	14700	13569
260	14781	13535
261	14864	13502
262	14929	13453
263	14997	13406
264	15061	13356
265	15120	13301
266	15176	13244
267	15232	13185
268	15287	13127
269	15347	13074
270	15411	13022
271	15481	12977
272	15540	12922
273	15600	12867
274	15668	12819
275	15734	12770
276	15825	12740
277	15924	12716
278	16015	12685
279	16085	12638
280	16149	12585
281	16209	12531
282	16283	12485
283	16349	12434
284	16415	12383
285	16479	12330
286	16541	12276
287	16603	12222
288	16663	12165
289	16718	12106
290	16780	12051
291	16843	11998
292	16911	11947
293	16980	11897
294	17045	11845
295	17113	11794
296	17177	11740
297	17239	11685
298	17299	11629
299	17356	11571
300	17416	11514
301	17485	11464
302	17542	11405
303	17602	11349
304	17665	11294
305	17728	11239
306	17791	11184
307	17860	11133
308	17929	11082
309	18001	11033
310	18067	10979
311	18133	10926
312	18192	10868
313	18258	10815
314	18324	10761
315	18385	10705
316	18448	10650
317	18510	10593
318	18574	10539
319	18636	10482
320	18696	10425
321	18754	10367
322	18821	10313
323	18888	10260
324	18949	10203
325	19011	10147
326	19071	10089
327	19135	10034
328	19199	9978
329	19261	9922
330	19325	9867
331	19387	9810
332	19447	9752
333	19505	9694
334	19566	9637
335	19625	9579
336	19685	9521
337	19747	9464
338	19811	9408
339	19881	9355
340	19944	9299
341	20008	9243
342	20067	9185
343	20127	9127
344	20187	9069
345	20247	9012
346	20315	8957
347	20378	8900
348	20439	8843
349	20500	8785
350	20557	8726
351	20617	8668
352	20677	8610
353	20745	8555
354	20837	8511
355	20926	8464
356	20999	8411
357	21065	8355
358	21127	8298
359	21186	8239
360	21255	8184
361	21315	8125
362	21378	8068
363	21437	8009
364	21496	7950
365	21559	7893
366	21616	7833
367	21681	7776
368	21744	7719
369	21804	7660
370	21868	7603
371	21931	7546
372	21993	7488
373	22053	7429
374	22114	7371
375	22178	7314
376	22241	7256
377	22305	7199
378	22368	7141
379	22431	7083
380	22499	7027
381	22560	6968
382	22623	6911
383	22685	6852
384	22746	6794
385	22805	6735
386	22868	6677
387	22935	6620
388	23004	6564
389	23071	6507
390	23139	6450
391	23209	6394
392	23276	6337
393	23342	6280
394	23409	6222
395	23470	6163
396	23534	6105
397	23605	6049
398	23667	5990
399	23733	5933
400	23800	5875
401	23867	5818
402	23926	5758
403	23987	5700
404	24047	5640
405	24108	5581
406	24171	5523
407	24236	5465
408	24296	5405
409	24360	5347
410	24420	5288
411	24482	5229
412	24541	5169
413	24604	5111
414	24666	5052
415	24728	4993
416	24789	4934
417	24851	4875
418	24913	4816
419	24969	4756
420	25034	4697
421	25100	4639
422	25173	4582
423	25242	4524
424	25311	4466
425	25379	4408
426	25450	4351
427	25533	4295
428	25610	4238
429	25686	4181
430	25773	4126
431	25864	4071
432	25943	4014
433	26017	3956
434	26101	3900
435	26173	3842
436	26235	3782
437	26291	3721
438	26354	3662
439	26414	3601
440	26477	3542
441	26539	3482
442	26600	3422
443	26662	3362
444	26729	3303
445	26794	3244
446	26851	3183
447	26908	3123
448	26965	3062
449	27025	3002
450	27083	2942
451	27139	2882
452	27201	2822
453	27261	2762
